;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes;platform
10570;Miss Evers' Boys;The true story of the US Government's 1932 Tuskeegee Syphilis Experiments, in which a group of black test subjects were allowed to die, despite a cure having been developed.;1997;PG;118;['drama', 'war'];['US'];7.1;1224.0;HBO Max
4088;Vitality;A provocative look at the broken medical system in America and how our definition of health is skewed. This movie takes us through a journey into LIFESTYLE and teaches us basic things we can do every day that can enhance our health. The mechanistic model of a pill for an ill or replaceable body parts has proven to be ineffective and burdensome. Vitality is a look at how our bodies can thrive given the right inputs and habits.;2012;Unknown;30;['documentation'];['US'];7.1;55.0;Amazon Prime
4223;Kathleen Madigan: Madigan Again;Kathleen Madigan drops in on Detroit to deliver material derived from time spent with her Irish Catholic Midwest family, eating random pills out of her mother's purse, touring Afghanistan, and her love of John Denver and the Lunesta butterfly.;2013;Unknown;64;['comedy'];['US'];7.1;364.0;Amazon Prime
10535;My Neighbors the Yamadas;The Yamadas are a typical middle class Japanese family in urban Tokyo and this film shows us a variety of episodes of their lives. With tales that range from the humorous to the heartbreaking, we see this family cope with life's little conflicts, problems, and joys in their own way.;1999;PG;104;['animation', 'family', 'comedy'];['JP'];7.1;13901.0;HBO Max
4163;The Dark Valley;The Alps, late 19th century. Greider, a mysterious lone rider who claims to be a photographer, arrives at an isolated lumber village, despotically ruled by a family clan, asking for winter accommodation.;2014;Unknown;115;['drama', 'thriller', 'european', 'western', 'action'];['AT', 'DE'];7.1;13230.0;Amazon Prime
5959;What Haunts Us;The 1979 class of Porter Gaud School in Charleston, South Carolina graduated 49 boys. Within the last 35 years, six of them have committed suicide. When Paige Goldberg Tolmach gets word that another former student from her beloved high school has killed himself, she decides to take a deep dive into her past in order to uncover the surprising truth and finally release the ghosts that haunt her hometown to this day.;2017;Unknown;72;['documentation'];['US'];7.1;595.0;Amazon Prime
10543;Introducing Dorothy Dandridge;"An acclaimed stage performer, Dorothy still struggled with the challenge of her color, in a time that wouldn't let some stars in by the front door. Yet against the odds she beat out many more famous rivals for the role of ""Carmen Jones"", becoming the first black woman ever nominated for a Best Actress Academy Award. Marriages and affairs would break her heart, but her heart was strong. Seductive and easily seduced, she was born to be a star - with all the glory and all the pain of being loved, abused, cheated, glorified, undermined and undefeated. Here was a woman who wouldn't wait in the wings. Halle Berry stars as Dorothy Dandrige.";1999;PG-13;110;['drama', 'music', 'romance'];['US'];7.1;3627.0;HBO Max
6585;Super Size Me 2: Holy Chicken!;Muckraking filmmaker Morgan Spurlock reignites his battle with the food industry — this time from behind the register — as he opens his own fast food restaurant.;2019;PG-13;93;['documentation'];['US'];7.1;4619.0;Amazon Prime
10579;Lillehammer ’94: 16 Days of Glory;A documentary covering the 1994 Olympic Games in Lillehammer.;1994;Unknown;209;['documentation', 'sport'];['US'];7.1;79.0;HBO Max
4197;Minuscule: Valley of the Lost Ants;In a peaceful little clearing, the remains of a hastily abandoned picnic sparks a battle between two tribes of ants. A bold young ladybug finds himself caught in the middle. He befriends the leader of the black ants, Mandible, and helps him save the anthill from the assault of the terrible red ant warriors, led by the fearful Butor. A fantastic journey at ground level.;2013;PG;89;['animation', 'family', 'war', 'action', 'comedy', 'european'];['BE', 'FR'];7.1;8243.0;Amazon Prime
10549;In Vanda's Room;An unflinching, fragmentary look at a handful of self-destructive, marginalized people, but taking as main focus the heroin-addicted Vanda Duarte.;2000;Unknown;170;['drama', 'european'];['PT', 'CH', 'DE'];7.1;1519.0;HBO Max
10554;In the Gloaming;Danny, dying of AIDS, returns home for his last months. Always close to his mother, they share moments of openness that tend to shut out Danny's father and his sister.;1997;PG;61;['drama'];['US'];7.1;1286.0;HBO Max
10568;In Pursuit of Honor;To save a group of horses slated to be destroyed by the US Cavalry, a group of officers rebel and begin a journey towards Canada to save themselves and the mounts.;1995;PG-13;111;['western', 'drama'];['US'];7.1;1438.0;HBO Max
4186;The Road Within;A young man with Tourette's Syndrome embarks on a road trip with his recently-deceased mother's ashes.;2014;R;100;['drama', 'comedy'];['US'];7.1;15055.0;Amazon Prime
10589;A Child's Garden of Verses;"A young boy, confined to his bed, uses his imagination to find the fun and excitement he can't experience in real life. Tony Award-winning actor Jonathan Pryce ""'Miss Saigon'"" lends his voice to this animated musical based on the life and beloved children's poetry of Robert Louis Stevenson. Songs composed by Charles Strouse.";1992;G;30;['family', 'animation'];['US'];7.1;41.0;HBO Max
13020;Kung Fu Panda 3;"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.";2016;PG;95;['action', 'animation', 'family', 'fantasy', 'drama', 'comedy'];['US', 'CN'];7.1;155678.0;Netflix
9260;Marvel: 75 Years, From Pulp to Pop!;"In celebration of the publisher's 75th anniversary, the hour-long special will take a detailed look at the company's journey from fledgling comics publisher to multi-media juggernaut. Hosted by Emily VanCamp (S.H.I.E.L.D. Agent Sharon Carter), the documentary-style feature will include interviews with comic book icons, pop culture authorities, and Hollywood stars.  The special also promises an ""extraordinary peek into Marvel's future!"" Might Marvel release the first official footage from next year's Avengers: Age of Ultron or Ant-Man? If they do, you'll know about it here.";2014;PG;41;['documentation', 'history'];['US'];7.1;986.0;Disney+
4250;Valentine Road;On February 12, 2008, in Oxnard, California, eighth-grade student Brandon McInerney shot his classmate Larry King twice in the back of the head during first period. When Larry died two days later, his murder shocked the nation. Was this a hate crime, one perpetrated by a budding neo-Nazi whose masculinity was threatened by an effeminate gay kid who may have had a crush on him? Or was there even more to it?;2013;Unknown;89;['documentation', 'crime'];['US'];7.1;1789.0;Amazon Prime
15250;The Sea Beast;When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.;2022;PG;115;['comedy', 'family', 'fantasy', 'scifi', 'animation'];['US'];7.1;18852.0;Netflix
9361;Titanic: 20 Years Later with James Cameron;"For the 20th anniversary of ""Titanic,"" James Cameron reopens the file on the disaster.";2017;PG;47;['documentation'];['US'];7.1;685.0;Disney+
